date,ENG,PAR,MIL,ISB,DNP,NML,ORO,FOL,TRM,SCC,PNF,NHG,SHA
2015-01-26,0.10001596928058192,0.3058393838102732,0.0479570963364753,0.05759009774656632,0.21051515804512203,0.3902130204572654,0.30816080512264243,0.32987334410000463,0.0877335392762397,0.03727873189704788,0.086378209691294,0.007456921987857088,0.3136719441153986
2015-01-27,0.10077047193825665,0.3060000832671183,0.05125546975169671,0.057795997463063464,0.21409784040417396,0.3858833297840123,0.3020652366916872,0.32667864599604635,0.0878093914579921,0.03733350059267324,0.08642650473699867,0.007900161696794718,0.30107848454839853
2015-01-28,0.10130901816539846,0.3062627955441945,0.0545943903059788,0.05798516420705286,0.21795085830965502,0.3810261324613421,0.29555324600172933,0.32307186767226537,0.08800913865351968,0.037435227164233975,0.08663000249776329,0.008345059562749998,0.2871046414448632
2015-01-29,0.10149030327099764,0.3065888963436254,0.05764020942126511,0.058151583273965524,0.2217652987284139,0.3776488342792035,0.28812167355424806,0.31894379484357044,0.08835514974725996,0.03759693416774995,0.08702588558538599,0.008756869046208692,0.271347192653498
2015-01-30,0.09590652957315039,0.3069341671965835,0.06039373618000615,0.05829171589531526,0.2252000797910344,0.3759008209814631,0.28245542527802575,0.3142094380116494,0.08874743143011922,0.037820694790076055,0.08754171042516298,0.009111777984394366,0.26042524677291534
2015-01-31,0.09029754410344171,0.30723752641432006,0.06287052624289594,0.05840263034506722,0.22824104795635394,0.37390709837740355,0.2807924177922403,0.3088463780573292,0.08910052559545632,0.03808553058707414,0.08811994001294966,0.009415338359204422,0.2579706750513447
2015-02-01,0.08690819216552251,0.3074893790128945,0.0651124869845603,0.058481971392980156,0.2308676505774969,0.3715320825311921,0.2808811648263375,0.30596305706668153,0.08940893088606273,0.03835164166917171,0.08882294991972804,0.009711696840291002,0.25810304524074135
2015-02-02,0.08533636523936977,0.3076971997184325,0.06716863005577385,0.05852827849414723,0.2331230798130193,0.3687533656210265,0.28124712641356403,0.3059159124911264,0.08966916907570198,0.03859404646318095,0.0897224336751604,0.010060405313759065,0.2587530199172334
2015-02-03,0.08161102601441485,0.3079051964984699,0.06906517533249348,0.058491636304509535,0.23515029178972124,0.3669013533776621,0.281982541004274,0.30600254064870896,0.08987934590883442,0.03881189485871833,0.09074618338603598,0.010451775112973167,0.26033222575368115
2015-02-04,0.07836235930949127,0.3082282318863174,0.07085073448489673,0.058089360896191766,0.23704251085303535,0.3662055083357425,0.2832104243928226,0.3064674745597618,0.09004831066990844,0.03900768136201715,0.09180317919617412,0.010825704232138992,0.2632843823990369
2015-02-05,0.0776105075179115,0.308729401710359,0.07261537868803106,0.05782967984973278,0.2388144112434948,0.3658780518454274,0.28510881673867416,0.30765892442765214,0.09019570104012721,0.03918676222338311,0.09285461884989714,0.011159827555755045,0.26811165751780375
2015-02-06,0.07768053887430462,0.30935978833074823,0.07444017249739017,0.0577560114677586,0.2409644372776128,0.3662980147942565,0.28829880003274094,0.31031507857998614,0.09035427672741601,0.039355322636049926,0.09385243898636436,0.01172064755534671,0.27722100340543515
2015-02-07,0.07880599734143008,0.31050887423506124,0.07623287870011479,0.05778087454667488,0.2446571465204931,0.3688714544195817,0.2983169308545388,0.3173676267235902,0.09211469456621117,0.03953721826470366,0.0951831838316276,0.01434131258443579,0.2972607904557394
2015-02-08,0.08240524469234588,0.3144390546474645,0.07786585866880963,0.05798709997346386,0.2502421235735684,0.37703114475708394,0.32180036025783754,0.33325146226845515,0.09889925404951357,0.04001765164905147,0.09832261862341435,0.026876082093008395,0.33197147387345455
